"","Time","Year","Month","City","City_code","Biowaste","Biowaste_per_ca","Income","Income_thous","Population","Baby","Household_Size","EnvBud","EnvBud_perca","TimeIndicator","TT_NTC","FE_NTC","TE.NTC","MRSP","FE_TPC","FE_TYC","FE_TCC","FE_TNC","FE_KSC","FE_Yilan","FE_KLC","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10","m11","y2003","y2004","y2005","y2006","y2007","y2008","y2009","y2010","y2011","y2012","y2013","y2014","Treated_y2008","DATE_2008","DATE_2009","DATE_2010","DATE_2011","DATE_2012","DATE_2013","DATE_2014"
"11",2003-01-01,2003,1,"NewTaipeiCity",1,1080,0.29,1146693,1146.693,3676533,0.0419,3.02,6817997,1.86,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",2003-02-01,2003,2,"NewTaipeiCity",1,1126,0.31,1146693,1146.693,3676533,0.0419,3.02,6817997,1.86,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",2003-03-01,2003,3,"NewTaipeiCity",1,898,0.24,1146693,1146.693,3676533,0.0419,3.02,6817997,1.86,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",2003-04-01,2003,4,"NewTaipeiCity",1,1031,0.28,1146693,1146.693,3676533,0.0419,3.02,6817997,1.86,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",2003-05-01,2003,5,"NewTaipeiCity",1,1197,0.33,1146693,1146.693,3676533,0.0419,3.02,6817997,1.86,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",2003-06-01,2003,6,"NewTaipeiCity",1,1656,0.45,1146693,1146.693,3676533,0.0419,3.02,6817997,1.86,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",2003-07-01,2003,7,"NewTaipeiCity",1,1864,0.51,1146693,1146.693,3676533,0.0419,3.02,6817997,1.86,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",2003-08-01,2003,8,"NewTaipeiCity",1,2130,0.58,1146693,1146.693,3676533,0.0419,3.02,6817997,1.86,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",2003-09-01,2003,9,"NewTaipeiCity",1,1915,0.52,1146693,1146.693,3676533,0.0419,3.02,6817997,1.86,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",2003-10-01,2003,10,"NewTaipeiCity",1,2192,0.6,1146693,1146.693,3676533,0.0419,3.02,6817997,1.86,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
