"","Time","Year","Month","City","City_code","Violation","Violation_per_ca","Income","Income_thous","Monthly_Population","Baby","Household_Size","TimeIndicator","TT_TPC","TT_NTC","FE_TPC","FE_NTC","TE.TPC","TE.NTC","MRSP","FE_TYC","FE_TCC","FE_TNC","FE_KSC","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10","m11","y1998","y1999","y2000","y2001","y2002","y2003","y2004","y2005","y2006","y2007","y2008","y2009","y2010","y2011","y2012","y2013","y2014","y2015"
"1",1998-01-01,1998,1,"NewTaipeiCity",1,288,0.084112984766788,1149230,1149.23,3423966,0.0514648412659873,3.32,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",1998-02-01,1998,2,"NewTaipeiCity",1,850,0.247958354665045,1149230,1149.23,3427995,0.0514648412659873,3.31,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",1998-03-01,1998,3,"NewTaipeiCity",1,1382,0.402698722495124,1149230,1149.23,3431846,0.0514648412659873,3.31,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",1998-04-01,1998,4,"NewTaipeiCity",1,2166,0.630480134199705,1149230,1149.23,3435477,0.0514648412659873,3.3,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",1998-05-01,1998,5,"NewTaipeiCity",1,1093,0.317780225173311,1149230,1149.23,3439484,0.0514648412659873,3.3,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",1998-06-01,1998,6,"NewTaipeiCity",1,704,0.204638610829394,1149230,1149.23,3440211,0.0514648412659873,3.29,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",1998-07-01,1998,7,"NewTaipeiCity",1,455,0.132168737939603,1149230,1149.23,3442569,0.0514648412659873,3.28,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",1998-08-01,1998,8,"NewTaipeiCity",1,1256,0.364441109537476,1149230,1149.23,3446373,0.0514648412659873,3.28,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",1998-09-01,1998,9,"NewTaipeiCity",1,699,0.202633364061712,1149230,1149.23,3449580,0.0514648412659873,3.27,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",1998-10-01,1998,10,"NewTaipeiCity",1,524,0.151775219740974,1149230,1149.23,3452474,0.0514648412659873,3.26,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",1998-11-01,1998,11,"NewTaipeiCity",1,382,0.110588949847911,1149230,1149.23,3454233,0.0514648412659873,3.26,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",1998-12-01,1998,12,"NewTaipeiCity",1,618,0.178632128809374,1149230,1149.23,3459624,0.0514648412659873,3.26,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",1999-01-01,1999,1,"NewTaipeiCity",1,834,0.240783047256704,1169204,1169.204,3463699,0.0486263275377914,3.25,13,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
