"","Time","Year","Month","City","City_code","Recycling","Recycling_per_ca","Income","Income_thous","Population","Baby","Household_Size","EnvBud","EnvBud_perca","TimeIndicator","TT_NTC","TT_TPC","FE_NTC","FE_TPC","TE.NTC","TE.TPC","MRSP","FE_TPC","FE_TYC","FE_TCC","FE_TNC","FE_KSC","FE_Yilan","FE_KLC","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10","m11","y2000","y2001","y2002","y2003","y2004","y2005","y2006","y2007","y2008","y2009","y2010","y2011","y2012","y2013","y2014","y2015","y2016","Treated_y2008","DATE_2008","DATE_2009","DATE_2010","DATE_2011","DATE_2012","DATE_2013","DATE_2014","DATE_2015","DATE_2016","All_Tot","All_Cre","All_Com","All_Sch","All_Org","Pap_Tot","Pap_Cre","Pap_Com","Pap_Sch","Pap_Org","Met_Tot","Met_Cre","Met_Com","Met_Sch","Met_Org","Alu_Tot","Alu_Cre","Alu_Com","Alu_Sch","Alu_Org","Pla_Tot","Pla_Cre","Pla_Com","Pla_Sch","Pla_Org","Gla_Tot","Gla_Cre","Gla_Com","Gla_Sch","Gla_Org","Tex_Tot","Tex_Cre","Tex_Com","Tex_Sch","Tex_Org","App_Tot","App_Cre","App_Com","App_Sch","App_Org","Tir_Tot","Tir_Cre","Tir_Com","Tir_Sch","Tir_Org","Ret_Tot","Ret_Cre","Ret_Com","Ret_Sch","Ret_Org","Bat_Tot","Bat_Cre","Bat_Com","Bat_Sch","Bat_Org","Ele_Tot","Ele_Cre","Ele_Com","Ele_Sch","Ele_Org","Lig_Tot","Lig_Cre","Lig_Com","Lig_Sch","Lig_Org","Oth_Tot","Oth_Cre","Oth_Com","Oth_Sch","Oth_Org","All_Tot_pca","All_Cre_pca","All_Com_pca","All_Sch_pca","All_Org_pca","Pap_Tot_pca","Pap_Cre_pca","Pap_Com_pca","Pap_Sch_pca","Pap_Org_pca","Met_Tot_pca","Met_Cre_pca","Met_Com_pca","Met_Sch_pca","Met_Org_pca","Alu_Tot_pca","Alu_Cre_pca","Alu_Com_pca","Alu_Sch_pca","Alu_Org_pca","Pla_Tot_pca","Pla_Cre_pca","Pla_Com_pca","Pla_Sch_pca","Pla_Org_pca","Gla_Tot_pca","Gla_Cre_pca","Gla_Com_pca","Gla_Sch_pca","Gla_Org_pca","Tex_Tot_pca","Tex_Cre_pca","Tex_Com_pca","Tex_Sch_pca","Tex_Org_pca","App_Tot_pca","App_Cre_pca","App_Com_pca","App_Sch_pca","App_Org_pca","Tir_Tot_pca","Tir_Cre_pca","Tir_Com_pca","Tir_Sch_pca","Tir_Org_pca","Ret_Tot_pca","Ret_Cre_pca","Ret_Com_pca","Ret_Sch_pca","Ret_Org_pca","Bat_Tot_pca","Bat_Cre_pca","Bat_Com_pca","Bat_Sch_pca","Bat_Org_pca","Ele_Tot_pca","Ele_Cre_pca","Ele_Com_pca","Ele_Sch_pca","Ele_Org_pca","Lig_Tot_pca","Lig_Cre_pca","Lig_Com_pca","Lig_Sch_pca","Lig_Org_pca","Oth_Tot_pca","Oth_Cre_pca","Oth_Com_pca","Oth_Sch_pca","Oth_Org_pca"
"8",2000-01-01,2000,1,"NewTaipeiCity",1,3423.332,0.96,1153690,1153.69,3567896,0.0476,3.14,NA,NA,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3423332,2547287,181570,207746,486729,2187674,1524756,123218,136193,403507,483574,393228,22216,30898,37232,22450,15175,1692,2204,3379,194615,138371,6042,20906,29296,173733,164061,8765,287,620,85375,69169,5633,4,10569,46230,37653,8070,0,507,105749,105693,56,0,0,16584,4425,204,11740,215,8199,6525,268,50,1356,8655,7831,776,0,48,0,0,0,0,0,75027,74669,339,19,0,0.959482002838648,0.713946538800458,0.0508899362537473,0.058226472968943,0.136419054815499,0.613155204075455,0.427354384769063,0.0345351994564864,0.0381717964873416,0.113093823362564,0.135534780161754,0.110212853737889,0.00622663889306191,0.00866000578492198,0.0104352817458805,0.00629222376436981,0.00425320693204062,0.000474229069457181,0.000617731010096707,0.000947056752775305,0.0545461526905493,0.0387822402895152,0.00169343501043752,0.00585947572462874,0.00821100166596784,0.048693403619388,0.0459825622719945,0.00245662990176844,8.04395643819214e-05,0.000173771881243175,0.023928668324413,0.0193864955704987,0.00157880162426259,1.12110891124629e-06,0.00296225002074051,0.012957216241729,0.0105532784587892,0.00226183722843939,0,0.000142100554500467,0.029639036563846,0.0296233410390886,1.56955247574481e-05,0,0,0.00464811754602713,0.00124022673306621,5.71765544735609e-05,0.00329045465450787,6.02596039794882e-05,0.00229799299082709,0.00182880891147051,7.51142970535016e-05,1.40138613905786e-05,0.000380055920912493,0.00242579940670916,0.00219485097099243,0.000217495128781781,0,1.34533069349555e-05,0,0,0,0,0,0.0210283595710189,0.0209280203234623,9.50139802281232e-05,5.32526732841989e-06,0
"2",2000-02-01,2000,2,"NewTaipeiCity",1,2944.848,0.83,1153690,1153.69,3567896,0.0476,3.14,NA,NA,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2944848,2051496,204774,107904,580674,1807853,1113770,156294,82656,455133,404024,329296,12331,4851,57546,26003,16277,2534,3322,3870,165094,104921,6440,7457,46276,145897,137276,7829,77,715,62828,41830,5696,10,15292,32164,25165,5744,0,1255,164934,164934,0,0,0,6602,1219,340,4780,263,4090,3646,130,58,256,10579,10176,340,15,48,0,0,0,0,0,101324,101153,150,11,10,0.825373833766455,0.574987611746531,0.057393489047887,0.03024303398978,0.162749698982257,0.506700027130836,0.312164368019696,0.043805649043582,0.0231665945419934,0.127563415525565,0.113238726689343,0.0922941700094397,0.00345609849614451,0.00135962483211394,0.0161288333516448,0.00728804875478433,0.00456207243708897,0.000710222495274526,0.000931080950790045,0.00108467287163079,0.0462720886483238,0.029406967019218,0.00180498534710653,0.0020900272877909,0.0129701089942084,0.0408916067060251,0.0384753367250615,0.0021942904165368,2.15813465414911e-05,0.000200398217885275,0.0176092576689455,0.0117239964393581,0.00159645908961472,2.80277227811573e-06,0.00428599936769457,0.00901483675533143,0.00705317643787823,0.00160991239654968,0,0.000351747920903524,0.046227244291874,0.046227244291874,0,0,0,0.001850390258012,0.000341657940702307,9.52942574559348e-05,0.00133972514893932,7.37129109144437e-05,0.00114633386174933,0.001021890772601,3.64360396155045e-05,1.62560792130712e-05,7.17509703197627e-05,0.00296505279301863,0.00285210107021057,9.52942574559348e-05,4.20415841717359e-06,1.34533069349555e-05,0,0,0,0,0,0.0283988098307798,0.028350882424824,4.20415841717359e-05,3.0830495059273e-06,2.80277227811573e-06
"7",2000-03-01,2000,3,"NewTaipeiCity",1,3173.768,0.89,1153690,1153.69,3567896,0.0476,3.14,NA,NA,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3173768,2304230,189556,206759,473223,2051864,1330434,166283,167928,387219,383770,319712,9841,9592,44625,27628,21757,657,2449,2765,190052,148466,5544,14467,21575,236534,233947,976,711,900,64157,45787,3073,310,14987,29862,26020,2842,0,1000,61519,61519,0,0,0,12595,5069,52,7384,90,3043,2828,65,98,52,4558,4438,120,0,0,0,0,0,0,0,97329,97303,26,0,0,0.88953489675708,0.645823196640261,0.0531282301950505,0.057949839345093,0.132633630576676,0.575090753766365,0.372890353306262,0.0466053382721918,0.0470663943119418,0.108528667875969,0.107561991717247,0.0896079930580936,0.00275820819889369,0.00268841916916861,0.0125073712910914,0.00774349924997814,0.00609799164549639,0.000184142138672203,0.000686398930910542,0.000774966534898999,0.0532672477000451,0.041611638904273,0.00155385695098736,0.00405477065475003,0.00604698119003469,0.0662950938031826,0.0655700166148341,0.000273550574344095,0.000199277108974028,0.000252249505030416,0.0179817461047071,0.0128330534298085,0.000861291921064964,8.68859406215876e-05,0.00420051481321204,0.00836963857690919,0.00729281346765713,0.00079654788144049,0,0.000280277227811573,0.0172423747777402,0.0172423747777402,0,0,0,0.00353009168428676,0.00142072526777686,1.45744158462018e-05,0.00206956705016065,2.52249505030416e-05,0.000852883604230617,0.000792624000251128,1.82180198077522e-05,2.74671683255342e-05,1.45744158462018e-05,0.00127750360436515,0.00124387033702776,3.36332673373888e-05,0,0,0,0,0,0,0,0.0272791023056726,0.0272718150977495,7.2872079231009e-06,0,0
"3",2000-04-01,2000,4,"NewTaipeiCity",1,3284.832,0.92,1153690,1153.69,3567896,0.0476,3.14,NA,NA,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3284832,2020064,395829,169607,699332,2033824,1119415,294365,120823,499221,548526,319073,74401,14495,140557,32660,15139,2318,1627,13576,186846,142582,11974,20032,12258,178591,173860,3254,502,975,85455,66964,6487,250,11754,33456,22617,1984,140,8715,81744,71836,0,0,9908,11410,3810,78,7384,138,3789,2237,214,73,1265,14231,12792,415,424,600,0,0,0,0,0,65735,65119,316,0,300,0.920663606786745,0.566177937921957,0.110941854807427,0.0475369797774375,0.196006834279923,0.570034552576645,0.313746532970692,0.0825038061647537,0.0338639354958777,0.139920277945321,0.153739346662571,0.089428895909522,0.0208529060264088,0.00406261841712875,0.0393949263095113,0.00915385426032597,0.0042431169518394,0.000649682614067226,0.000456011049649429,0.00380504364476991,0.0523686789076812,0.0399624876958297,0.00335603952581577,0.00561451342752143,0.00343563825851426,0.0500549903920966,0.0487289988273201,0.000912022099298858,0.00014069916836141,0.000273270297116284,0.023951090502638,0.0187684842831742,0.00181815837681367,7.00693069528932e-05,0.00329437853569723,0.00937695493366399,0.00633903006141435,0.000556070019978161,3.92388118936202e-05,0.00244261604037786,0.0229109817102292,0.0201339949370722,0,0,0.00277698677315707,0.00319796316933005,0.00106785623796209,2.18616237693027e-05,0.00206956705016065,3.86782574379971e-05,0.00106197041617805,0.000626980158614489,5.99793267516766e-05,2.04602376302448e-05,0.00035455069318164,0.0039886252289865,0.00358530629816564,0.000116315049541803,0.000118837544592107,0.000168166336686944,0,0,0,0,0,0.0184240235701938,0.0182513727978618,8.85676039884571e-05,0,8.40831683434719e-05
"4",2000-05-01,2000,5,"NewTaipeiCity",1,3957.374,1.11,1153690,1153.69,3567896,0.0476,3.14,NA,NA,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3957374,2633007,290945,235329,798093,2398605,1406173,232168,163536,596728,513433,342527,23438,14894,132574,42184,20548,3822,3807,14007,254140,181961,11642,30783,29754,228318,222962,2635,1604,1117,128058,100331,10439,3208,14080,70492,59463,4729,362,5938,82190,80786,26,0,1378,20206,6223,20,13506,457,4847,2281,628,428,1510,5801,5109,172,60,460,0,0,0,0,0,197405,196008,1184,208,5,1.1091618141336,0.737971902768466,0.0815452580456381,0.0659573597436697,0.223687293575822,0.672274360014978,0.394118270263483,0.0650714034265573,0.0458354167273934,0.167249269597544,0.143903577906979,0.0960025180106147,0.00656913766544765,0.00417444903102557,0.0371574731998915,0.0118232145780034,0.0057591364770722,0.00107121956469583,0.00106701540627866,0.0039258431299567,0.0712296546760332,0.0509995246498216,0.00326298748618233,0.00862777390372365,0.00833936863630554,0.0639923360994827,0.0624911712673239,0.000738530495283495,0.000449564673409763,0.000313069663465527,0.0358917412390944,0.0281204945435629,0.00292581398112501,0.000899129346819526,0.00394630336758695,0.0197573023428934,0.0166661247973596,0.00132543101032093,0.000101460356467789,0.00166428617874512,0.0230359853538332,0.0226424761259857,7.2872079231009e-06,0,0.000386222019924348,0.00566328166516064,0.00174416518867142,5.60554455623146e-06,0.0037854242388231,0.000128086693109889,0.00135850372320269,0.000639312356638198,0.000176014099065668,0.000119958653503353,0.000423218613995475,0.00162588819853493,0.00143193635688933,4.82076831835906e-05,1.68166336686944e-05,0.000128927524793324,0,0,0,0,0,0.0553281261561436,0.0549365788688908,0.000331848237728902,5.82976633848072e-05,1.40138613905786e-06
"9",2000-06-01,2000,6,"NewTaipeiCity",1,3996.936,1.12,1153690,1153.69,3567896,0.0476,3.14,NA,NA,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3996936,2559937,700409,290701,445889,2483502,1426917,480895,212473,363217,573104,367585,145597,19160,40762,43140,16839,16586,3769,5946,247108,176577,20888,31868,17775,222590,214118,3099,2296,3077,142066,113770,13037,3054,12205,52535,39999,10292,0,2244,65953,65431,522,0,0,19167,5793,58,13164,152,7007,5612,524,519,352,13609,9658,3927,0,24,0,0,0,0,0,102353,100241,1207,905,0,1.12025014182028,0.717492045732275,0.196308692854276,0.0814768704020521,0.124972532831674,0.696069055824497,0.399932341077206,0.134783917468446,0.0595513434248083,0.101801453854036,0.160628000367724,0.103025704785117,0.0408075235376816,0.00537011168486974,0.0114246603600553,0.0120911596077913,0.00471958823911908,0.00464867810048275,0.00105636487162182,0.00166652839656761,0.0692587452100622,0.0494905120552841,0.00585443073452814,0.00893187469589921,0.00498192772435071,0.062386908138578,0.0600123994645584,0.000868579128988065,0.000643516515055372,0.00086241302997621,0.0398178646462789,0.0318871402081227,0.00365397421897948,0.000855966653736544,0.00342078356544025,0.014724364163081,0.0112108088352351,0.00288461322863671,0,0.00062894209920917,0.0184851240058567,0.018338819292939,0.000146304712917641,0,0,0.00537207362546442,0.00162364598071244,1.62560792130712e-05,0.00368956942691155,4.26021386273591e-05,0.00196390253527569,0.00157291580247855,0.000146865267373264,0.000145463881234206,9.86575841896737e-05,0.0038142927932877,0.00270691746620417,0.00110064867361605,0,6.72665346747775e-06,0,0,0,0,0,0.0286872150981979,0.0280952695930599,0.000338294613968569,0.000253650891169474,0
"10",2000-07-01,2000,7,"NewTaipeiCity",1,4072.789,1.14,1153690,1153.69,3567896,0.0476,3.14,NA,NA,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4072789,2882989,329867,92430,767503,2445714,1548877,261088,70368,565381,490119,381133,24271,6754,77961,43987,23333,4837,1816,14001,428070,324324,18684,6690,78372,250814,244848,2959,1825,1182,135711,106282,6749,0,22680,30760,21009,3987,45,5719,80406,80362,44,0,0,6595,1427,73,3939,1156,5809,4431,104,993,281,9296,7318,1228,0,750,0,0,0,0,0,130455,130070,380,0,5,1.14151001038147,0.808036164731259,0.0924542083065201,0.0259060241666237,0.215113613177066,0.685477939939953,0.434114951781106,0.073177020854868,0.0197225479666448,0.158463419337335,0.13736919461778,0.106822900667508,0.00680260859621469,0.00189299239663936,0.021850692957418,0.0123285544197477,0.00653970855652743,0.00135570095092458,0.000508983445705817,0.00392416146658983,0.1199782729093,0.0909006316327606,0.00523669972443143,0.00187505465405942,0.0219658868980486,0.0702974526163319,0.068625318675208,0.000829340317094444,0.000511505940756121,0.000331287683273279,0.0380367028635364,0.0297884243262696,0.00189159101050031,0,0.00635668752676648,0.00862132752748399,0.00588834427909334,0.00111746530728474,1.26124752515208e-05,0.00160290546585439,0.0225359707794173,0.0225236385813936,1.23321980237092e-05,0,0,0.00184842831741732,0.000399955604087115,2.04602376302448e-05,0.00110401200034979,0.000324000475350178,0.00162813041635743,0.00124190839643308,2.91488316924036e-05,0.000278315287216892,7.8757901015052e-05,0.00260545710973638,0.00205106875312509,0.000344180435752612,0,0.00021020792085868,0,0,0,0,0,0.0365635657541588,0.0364556590214513,0.000106505346568398,0,1.40138613905786e-06
"1",2000-08-01,2000,8,"NewTaipeiCity",1,4046.894,1.13,1153690,1153.69,3567896,0.0476,3.14,NA,NA,8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4046894,2718024,376781,158845,793244,2370335,1399642,288699,113828,568166,489644,350542,31735,10777,96590,57201,35473,6339,2287,13102,420136,299730,19595,24045,76766,263544,256366,2130,2094,2954,127689,83171,15092,3,29423,28100,17975,6457,23,3645,105186,105142,44,0,0,6830,1484,24,4005,1317,8279,5827,470,1303,679,7898,6430,778,180,510,0,0,0,0,0,145188,144667,521,0,0,1.13425223156729,0.761800231845323,0.105603134172072,0.0445206362517293,0.222328229298163,0.664350922784745,0.392287779688646,0.0809157553919733,0.0319033962873357,0.15924399141679,0.13723606293457,0.0982489399915244,0.00889459782460027,0.00302054768412532,0.0270719774343198,0.0160321377080498,0.00994227410215993,0.00177667734709756,0.000640994020005067,0.00367219223878723,0.117754553383843,0.0840074934919628,0.00549203227896777,0.00673926594272927,0.0215157616701832,0.0738653817263732,0.0718535517851417,0.00059699049523865,0.000586900515037434,0.000827938930955387,0.0357883189420319,0.0233109373143163,0.00422994392213226,8.40831683434719e-07,0.00824659687389991,0.0078757901015052,0.00503798316991302,0.00180975005997933,6.44637623966618e-06,0.00102161049537318,0.0294812404845881,0.0294689082865644,1.23321980237092e-05,0,0,0.00191429346595304,0.000415931406072374,6.72665346747775e-06,0.00112251029738535,0.000369125109027842,0.00232041516905201,0.00163317540645804,0.000131730297071439,0.00036520122783848,0.000190308237684058,0.0022136295452558,0.00180218257482841,0.000218055683237404,5.04499010060831e-05,0.000142941386183902,0,0,0,0,0,0.0406928901515067,0.0405468657158168,0.00014602443568983,0,0
"6",2000-09-01,2000,9,"NewTaipeiCity",1,4877.095,1.37,1153690,1153.69,3567896,0.0476,3.14,NA,NA,9,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4877095,3277505,550602,442899,606089,3034508,1836211,371535,338011,488751,613559,460515,78831,21280,52933,38551,23034,7623,2517,5377,440865,333412,31699,45486,30268,270195,257579,5468,4725,2423,95192,48930,23785,81,22396,82180,64515,16978,0,687,86379,85750,148,451,30,37509,18624,2130,15469,1286,7354,3965,1239,1083,1067,16450,12476,3748,190,36,0,0,0,0,0,130410,126846,2952,612,0,1.36693866637368,0.918610015538569,0.154321202187508,0.124134503920518,0.169872944727088,0.850503490012041,0.514648128757116,0.104132799834973,0.0947367860498176,0.136985775370134,0.171966615618841,0.129071867565647,0.0220945341456141,0.00596429940783027,0.01483591449975,0.0108049674093639,0.00645590566541177,0.00213655330760762,0.000705457782401729,0.00150705065394283,0.123564420039149,0.0934477910791122,0.00888450784439905,0.0127486899842372,0.00848343113140069,0.075729505568548,0.0721935280624772,0.00153255588167368,0.00132430990140968,0.000679111722987441,0.0266801498698393,0.0137139647568203,0.00666639386349826,2.27024554527374e-05,0.00627708879406799,0.0230331825815551,0.0180820853522636,0.00475854677378489,0,0.000192550455506551,0.0242100666611359,0.0240337722848424,4.14810297161128e-05,0.000126405029743019,8.40831683434719e-06,0.0105129185379843,0.00521988309076273,0.00059699049523865,0.00433560843701722,0.000360436514965683,0.00206115873332631,0.00111129920827289,0.000347263485258539,0.000303540237719934,0.000299055802074948,0.00461056039750038,0.00349673869417718,0.00105047904983778,5.32526732841989e-05,1.00899802012166e-05,0,0,0,0,0,0.0365509532789072,0.0355520452389868,0.000827378376499763,0.000171529663420683,0
"5",2000-10-01,2000,10,"NewTaipeiCity",1,4942.531,1.39,1153690,1153.69,3567896,0.0476,3.14,NA,NA,10,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4942531,2711691,456836,401722,1372282,3171894,1482288,356726,253074,1079806,690394,453825,43742,43856,148971,46450,20529,6396,4379,15146,399158,233146,25811,61673,78528,241880,228026,4291,4976,4587,123819,83170,6427,29,34193,38061,27879,4132,90,5960,97396,97144,129,94,29,26451,6191,467,17046,2747,9769,6900,579,1120,1170,11632,9399,1102,771,360,0,0,0,0,0,57752,53411,3145,1156,40,1.38527888705276,0.760025236161592,0.128040727644528,0.112593528510921,0.384619394735721,0.889009657232162,0.415451571458361,0.0999821743683112,0.070930879151186,0.302645032254303,0.193501716417743,0.127196812911587,0.0122598864989338,0.0122918381029043,0.0417531789043178,0.0130188772318476,0.00575381120974378,0.00179265314908282,0.00122733398058688,0.00424507889243408,0.111874897698812,0.065345514555357,0.00723423552704451,0.0172855374708231,0.0220096101455872,0.0677934558630633,0.0639104951489617,0.00120266958453946,0.00139465948559039,0.00128563164397169,0.0347036460704012,0.0233106570370885,0.00180134174314498,8.12803960653562e-06,0.00958351925056112,0.0106676315677363,0.00781384883415884,0.00115810550531742,2.52249505030416e-05,0.00167045227775697,0.027297880879936,0.0272272510185274,3.61557623876929e-05,2.63460594142879e-05,8.12803960653562e-06,0.00741361295284392,0.00173519631738145,0.000130889465388005,0.00477760562527607,0.000769921544798391,0.00273802823849126,0.00193391287189985,0.000162280514902901,0.000313910495148962,0.00032792435653954,0.00326018471390422,0.00263432566420097,0.000308865505048353,0.000216093742642723,0.000100899802012166,0,0,0,0,0,0.016186570460574,0.0149698870146439,0.000881471881467397,0.000324000475350178,1.12110891124629e-05
