"","Time","Year","Month","City","City_code","Unsorted","Unsorted_per_ca","Income","Income_thous","Population","Baby","Household_Size","EnvBud","EnvBud_perca","TimeIndicator","TT_NTC","FE_NTC","TE.NTC","MRSP","FE_TPC","FE_TYC","FE_TCC","FE_TNC","FE_KSC","FE_Yilan","FE_KLC","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10","m11","y2001","y2002","y2003","y2004","y2005","y2006","y2007","y2008","y2009","y2010","y2011","y2012","y2013","y2014","y2015","y2016","Treated_y2008","DATE_2008","DATE_2009","DATE_2010","DATE_2011","DATE_2012","DATE_2013","DATE_2014","DATE_2015","DATE_2016"
"8",2001-01-01,2001,1,"NewTaipeiCity",1,125783,34.84,1142103,1142.103,3610252,0.0452,3.1,7117521,1.98,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",2001-02-01,2001,2,"NewTaipeiCity",1,99298,27.5,1142103,1142.103,3610252,0.0452,3.1,7117521,1.98,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",2001-03-01,2001,3,"NewTaipeiCity",1,98729,27.35,1142103,1142.103,3610252,0.0452,3.1,7117521,1.98,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",2001-04-01,2001,4,"NewTaipeiCity",1,97380,26.97,1142103,1142.103,3610252,0.0452,3.1,7117521,1.98,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",2001-05-01,2001,5,"NewTaipeiCity",1,104264,28.88,1142103,1142.103,3610252,0.0452,3.1,7117521,1.98,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1",2001-06-01,2001,6,"NewTaipeiCity",1,102271,28.33,1142103,1142.103,3610252,0.0452,3.1,7117521,1.98,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",2001-07-01,2001,7,"NewTaipeiCity",1,103175,28.58,1142103,1142.103,3610252,0.0452,3.1,7117521,1.98,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",2001-08-01,2001,8,"NewTaipeiCity",1,98075,27.17,1142103,1142.103,3610252,0.0452,3.1,7117521,1.98,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",2001-09-01,2001,9,"NewTaipeiCity",1,99321,27.51,1142103,1142.103,3610252,0.0452,3.1,7117521,1.98,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",2001-10-01,2001,10,"NewTaipeiCity",1,98135,27.18,1142103,1142.103,3610252,0.0452,3.1,7117521,1.98,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",2001-11-01,2001,11,"NewTaipeiCity",1,99154,27.46,1142103,1142.103,3610252,0.0452,3.1,7117521,1.98,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",2001-12-01,2001,12,"NewTaipeiCity",1,101930,28.23,1142103,1142.103,3610252,0.0452,3.1,7117521,1.98,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"107",2002-01-01,2002,1,"NewTaipeiCity",1,107910,29.63,1160816,1160.816,3641446,0.0444,3.06,6361437,1.75,13,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"105",2002-02-01,2002,2,"NewTaipeiCity",1,110183,30.26,1160816,1160.816,3641446,0.0444,3.06,6361437,1.75,14,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"102",2002-03-01,2002,3,"NewTaipeiCity",1,103800,28.51,1160816,1160.816,3641446,0.0444,3.06,6361437,1.75,15,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"104",2002-04-01,2002,4,"NewTaipeiCity",1,109166,29.98,1160816,1160.816,3641446,0.0444,3.06,6361437,1.75,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"103",2002-05-01,2002,5,"NewTaipeiCity",1,113607,31.2,1160816,1160.816,3641446,0.0444,3.06,6361437,1.75,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97",2002-06-01,2002,6,"NewTaipeiCity",1,108949,29.92,1160816,1160.816,3641446,0.0444,3.06,6361437,1.75,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99",2002-07-01,2002,7,"NewTaipeiCity",1,112686,30.95,1160816,1160.816,3641446,0.0444,3.06,6361437,1.75,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"101",2002-08-01,2002,8,"NewTaipeiCity",1,109577,30.09,1160816,1160.816,3641446,0.0444,3.06,6361437,1.75,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"106",2002-09-01,2002,9,"NewTaipeiCity",1,105128,28.87,1160816,1160.816,3641446,0.0444,3.06,6361437,1.75,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100",2002-10-01,2002,10,"NewTaipeiCity",1,107197,29.44,1160816,1160.816,3641446,0.0444,3.06,6361437,1.75,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"98",2002-11-01,2002,11,"NewTaipeiCity",1,99326,27.28,1160816,1160.816,3641446,0.0444,3.06,6361437,1.75,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"108",2002-12-01,2002,12,"NewTaipeiCity",1,103627,28.46,1160816,1160.816,3641446,0.0444,3.06,6361437,1.75,24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
